date,local,school,light rail,peak,Rapid,other
2019-07-15,12743,0,9060,370,19481,646
2019-10-22,18951,5661,12020,464,25925,405
2019-10-17,19049,5640,11889,417,25990,502
2020-08-10,11596,5176,5454,170,11223,251
2019-08-25,3955,0,3992,0,6228,421
2020-08-14,11722,4892,6036,157,11965,350
2019-12-27,5852,0,4351,21,7343,648
2020-01-08,10981,0,8077,331,16238,411
2020-04-27,947,0,853,0,1569,39
2020-01-19,2614,0,3553,0,5203,400
2019-07-24,19380,5786,11655,463,25312,390
2020-05-05,3551,149,1829,67,4496,98
2019-11-22,17767,5243,11384,344,22953,955
2020-05-07,3741,147,2037,58,4792,97
2019-12-23,9651,0,7008,174,13305,536
2020-01-20,11782,0,8985,346,18310,488
2020-05-28,7933,3882,3544,91,8221,128
2020-03-27,3998,97,2212,106,5544,87
2019-10-04,14021,0,11095,313,23197,965
2019-07-21,4045,0,4238,0,6000,501
2020-02-15,3686,0,4979,0,8089,624
2019-12-20,13149,44,9314,259,18341,718
2019-10-07,2870,0,4448,0,6956,623
2020-08-11,11796,5235,5614,168,11817,242
2019-09-12,18465,5712,11245,438,24108,377
2020-07-27,9904,5038,4704,157,9922,186
2020-02-25,21059,6634,12633,529,28340,495
2020-09-06,1687,0,2554,0,3998,165
2019-10-24,19204,5688,12170,450,26299,458
2020-05-29,7908,3767,3828,89,8407,159
2020-01-07,10356,0,7473,351,15447,432
2020-09-04,12462,4974,6411,135,12340,373
2020-09-05,2352,0,3576,0,5703,331
2020-04-17,3181,0,2281,56,3768,76
2020-04-10,379,0,478,0,850,28
2019-09-01,3761,0,4230,0,5936,452
2020-05-30,1736,0,2359,0,3662,202
2020-07-07,7127,0,4945,142,10067,304
2019-08-31,5683,2,6089,0,9225,648
2019-10-11,14293,0,11214,285,22457,857
2020-03-22,1893,0,2121,0,3890,131
2019-08-12,18699,5823,11038,470,24549,341
2019-12-30,5899,0,3853,26,7269,457
2020-03-29,706,0,824,0,1468,67
2020-06-23,9044,4819,4959,158,10514,235
2019-11-10,2744,0,4199,0,6673,386
2019-10-01,15028,0,11640,421,24365,802
2019-09-05,18911,5685,10967,451,24641,415
2019-09-10,18814,5922,11067,498,24134,460
2021-05-30,2123,0,3163,0,4871,350
2020-02-17,19785,6668,11528,482,25998,484
2020-01-05,1451,0,1720,0,2735,445
2019-07-30,19887,5765,12232,457,25617,336
2020-07-15,6998,0,4886,139,9967,286
2020-05-11,4023,800,2041,78,4980,115
2019-12-28,2874,0,3578,0,5745,595
2020-07-12,1381,0,2077,0,3311,209
2020-05-01,3258,72,1605,41,3734,90
2020-01-25,3481,0,4662,0,6976,832
2020-05-27,7619,4084,3570,99,7974,131
2019-12-11,17135,2750,11141,415,22494,555
2020-01-01,1325,0,1921,0,2586,392
2019-08-05,18527,5978,11517,453,24856,374
